"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Liga F","F","ESP",2023,"Alavés","team","16","15","5","3","7","19","28","-9","18","1.20","20.6","23.8","-3.2","-0.21","15","0","3","12","16","45","-29","3","0.20","10.6","30.0","-19.4","-1.30"
"Liga F","F","ESP",2023,"Alhama","team","15","15","3","4","8","11","23","-12","13","0.87","13.5","20.8","-7.3","-0.49","15","2","2","11","13","34","-21","8","0.53","10.3","24.7","-14.4","-0.96"
"Liga F","F","ESP",2023,"Athletic Club","team","10","15","5","2","8","13","23","-10","17","1.13","16.5","21.4","-5.0","-0.33","15","5","3","7","21","21","0","18","1.20","13.0","22.3","-9.3","-0.62"
"Liga F","F","ESP",2023,"Atlético Madrid","team","4","15","8","5","2","28","16","+12","29","1.93","25.8","12.5","+13.3","+0.89","15","8","4","3","26","19","+7","28","1.87","20.0","16.2","+3.9","+0.26"
"Liga F","F","ESP",2023,"Barcelona","team","1","15","15","0","0","64","3","+61","45","3.00","50.2","6.1","+44.2","+2.95","15","13","1","1","54","7","+47","40","2.67","48.4","7.3","+41.0","+2.74"
"Liga F","F","ESP",2023,"Levante","team","3","15","12","2","1","40","14","+26","38","2.53","32.0","13.6","+18.3","+1.22","15","9","1","5","40","20","+20","28","1.87","34.4","16.6","+17.8","+1.18"
"Liga F","F","ESP",2023,"Levante Planas","team","11","15","3","5","7","18","28","-10","14","0.93","15.7","23.4","-7.7","-0.51","15","3","3","9","6","33","-27","12","0.80","8.3","32.9","-24.6","-1.64"
"Liga F","F","ESP",2023,"Madrid CFF","team","5","15","9","3","3","36","21","+15","30","2.00","24.5","15.4","+9.1","+0.61","15","8","2","5","29","27","+2","26","1.73","24.4","21.7","+2.8","+0.18"
"Liga F","F","ESP",2023,"Real Betis","team","13","15","2","5","8","12","26","-14","11","0.73","14.0","25.8","-11.8","-0.78","15","4","2","9","14","36","-22","14","0.93","12.1","30.4","-18.2","-1.22"
"Liga F","F","ESP",2023,"Real Madrid","team","2","15","13","0","2","39","14","+25","39","2.60","30.8","15.2","+15.6","+1.04","15","11","3","1","41","11","+30","36","2.40","25.6","14.5","+11.2","+0.74"
"Liga F","F","ESP",2023,"Real Sociedad","team","8","15","6","4","5","32","27","+5","22","1.47","30.2","19.0","+11.2","+0.75","15","4","5","6","22","23","-1","17","1.13","18.8","23.0","-4.2","-0.28"
"Liga F","F","ESP",2023,"Sevilla","team","6","15","8","4","3","31","19","+12","28","1.87","23.4","14.7","+8.7","+0.58","15","2","6","7","14","25","-11","12","0.80","20.4","25.7","-5.3","-0.35"
"Liga F","F","ESP",2023,"Sporting Huelva","team","12","15","2","5","8","13","24","-11","11","0.73","14.6","23.3","-8.7","-0.58","15","4","2","9","11","30","-19","14","0.93","8.4","34.5","-26.2","-1.74"
"Liga F","F","ESP",2023,"UDG Tenerife","team","7","15","6","3","6","19","21","-2","21","1.40","19.8","16.4","+3.4","+0.23","15","5","4","6","16","23","-7","19","1.27","14.8","18.5","-3.7","-0.24"
"Liga F","F","ESP",2023,"Valencia","team","9","15","7","1","7","22","26","-4","22","1.47","19.6","25.5","-6.0","-0.40","15","4","3","8","14","29","-15","15","1.00","16.2","26.1","-9.9","-0.66"
"Liga F","F","ESP",2023,"Villarreal","team","14","15","2","3","10","11","40","-29","9","0.60","15.4","22.9","-7.6","-0.51","15","3","5","7","16","25","-9","14","0.93","14.2","22.3","-8.1","-0.54"
