"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Spanish Segunda División","M","ESP",2021,"Albacete","team","22","21","5","6","10","16","23","-7","21","1.00","23.4","29.5","-6.1","-0.29","21","4","5","12","14","30","-16","17","0.81","16.4","32.9","-16.5","-0.78"
"Spanish Segunda División","M","ESP",2021,"Alcorcón","team","17","21","9","2","10","20","23","-3","29","1.38","20.2","24.6","-4.4","-0.22","21","4","7","10","12","19","-7","19","0.90","18.2","22.0","-3.8","-0.18"
"Spanish Segunda División","M","ESP",2021,"Almería","team","4","21","10","8","3","34","18","+16","38","1.81","38.1","19.3","+18.8","+0.90","21","11","2","8","27","22","+5","35","1.67","25.9","25.0","+0.9","+0.04"
"Spanish Segunda División","M","ESP",2021,"CD Mirandés","team","10","21","6","10","5","19","18","+1","28","1.33","19.3","23.3","-4.0","-0.19","21","8","2","11","19","23","-4","26","1.24","23.0","21.4","+1.6","+0.08"
"Spanish Segunda División","M","ESP",2021,"Cartagena","team","16","21","8","7","6","27","23","+4","31","1.48","23.8","28.4","-4.6","-0.22","21","4","6","11","17","29","-12","18","0.86","19.7","23.2","-3.5","-0.17"
"Spanish Segunda División","M","ESP",2021,"Castellón","team","21","21","9","1","11","21","20","+1","28","1.33","20.1","24.8","-4.7","-0.22","21","2","7","12","14","34","-20","13","0.62","16.8","32.7","-15.9","-0.76"
"Spanish Segunda División","M","ESP",2021,"Espanyol","team","1","21","15","3","3","41","12","+29","48","2.29","35.5","13.8","+21.7","+1.03","21","9","7","5","30","16","+14","34","1.62","34.4","16.0","+18.4","+0.88"
"Spanish Segunda División","M","ESP",2021,"Fuenlabrada","team","11","21","4","12","5","21","20","+1","24","1.14","27.0","20.5","+6.5","+0.31","21","8","6","7","24","26","-2","30","1.43","28.9","23.6","+5.2","+0.25"
"Spanish Segunda División","M","ESP",2021,"Girona","team","5","21","12","4","5","22","12","+10","40","1.90","22.3","23.1","-0.8","-0.04","21","8","7","6","25","24","+1","31","1.48","24.8","27.1","-2.2","-0.11"
"Spanish Segunda División","M","ESP",2021,"Las Palmas","team","9","21","11","5","5","34","23","+11","38","1.81","25.5","23.9","+1.6","+0.08","21","3","9","9","12","30","-18","18","0.86","13.5","27.1","-13.6","-0.65"
"Spanish Segunda División","M","ESP",2021,"Leganés","team","3","21","15","3","3","28","12","+16","48","2.29","23.7","13.4","+10.3","+0.49","21","6","7","8","23","20","+3","25","1.19","26.0","26.2","-0.2","-0.01"
"Spanish Segunda División","M","ESP",2021,"Lugo","team","18","21","8","8","5","20","16","+4","32","1.52","21.5","18.8","+2.6","+0.13","21","3","6","12","18","37","-19","15","0.71","19.5","33.1","-13.6","-0.65"
"Spanish Segunda División","M","ESP",2021,"Mallorca","team","2","21","14","3","4","33","12","+21","45","2.14","31.4","15.5","+15.9","+0.76","21","10","7","4","21","16","+5","37","1.76","25.6","21.1","+4.5","+0.22"
"Spanish Segunda División","M","ESP",2021,"Málaga","team","12","21","6","7","8","20","22","-2","25","1.19","20.1","22.3","-2.2","-0.10","21","8","4","9","17","25","-8","28","1.33","17.6","21.6","-4.0","-0.19"
"Spanish Segunda División","M","ESP",2021,"Oviedo","team","13","21","7","8","6","26","22","+4","29","1.38","23.2","17.8","+5.3","+0.25","21","4","11","6","19","24","-5","23","1.10","20.2","23.7","-3.5","-0.17"
"Spanish Segunda División","M","ESP",2021,"Ponferradina","team","8","21","9","7","5","27","24","+3","34","1.62","25.6","24.3","+1.2","+0.06","21","6","5","10","18","26","-8","23","1.10","15.7","28.0","-12.3","-0.59"
"Spanish Segunda División","M","ESP",2021,"Rayo Vallecano","team","6","21","11","4","6","31","20","+11","37","1.76","29.8","22.6","+7.2","+0.34","21","8","6","7","21","20","+1","30","1.43","25.9","15.0","+10.9","+0.52"
"Spanish Segunda División","M","ESP",2021,"Sabadell","team","19","21","5","9","7","20","21","-1","24","1.14","17.5","27.1","-9.6","-0.46","21","6","4","11","20","27","-7","22","1.05","22.0","23.4","-1.4","-0.07"
"Spanish Segunda División","M","ESP",2021,"Sporting Gijón","team","7","21","11","7","3","22","12","+10","40","1.90","20.2","17.9","+2.3","+0.11","21","6","7","8","15","16","-1","25","1.19","20.0","19.9","+0.1","0.00"
"Spanish Segunda División","M","ESP",2021,"Tenerife","team","14","21","9","7","5","24","14","+10","34","1.62","24.3","18.0","+6.3","+0.30","21","4","6","11","12","22","-10","18","0.86","17.5","17.5","-0.1","0.00"
"Spanish Segunda División","M","ESP",2021,"UD Logroñés","team","20","21","7","4","10","15","24","-9","25","1.19","19.5","23.6","-4.2","-0.20","21","4","7","10","13","29","-16","19","0.90","19.4","29.0","-9.6","-0.46"
"Spanish Segunda División","M","ESP",2021,"Zaragoza","team","15","21","9","7","5","20","17","+3","34","1.62","22.0","18.4","+3.6","+0.17","21","4","4","13","17","26","-9","16","0.76","19.9","24.3","-4.3","-0.22"
