"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Fußball-Bundesliga","M","GER",2020,"Augsburg","team","15","17","5","5","7","28","29","-1","20","1.18","22.8","24.8","-2.0","-0.12","17","4","4","9","17","34","-17","16","0.94","20.2","31.8","-11.6","-0.68"
"Fußball-Bundesliga","M","GER",2020,"Bayern Munich","team","1","17","13","2","2","53","15","+38","41","2.41","47.2","18.0","+29.2","+1.72","17","13","2","2","47","17","+30","41","2.41","42.2","19.8","+22.4","+1.32"
"Fußball-Bundesliga","M","GER",2020,"Dortmund","team","2","17","11","3","3","46","17","+29","36","2.12","32.8","20.6","+12.2","+0.72","17","10","3","4","38","24","+14","33","1.94","28.2","20.3","+7.9","+0.46"
"Fußball-Bundesliga","M","GER",2020,"Düsseldorf","team","17","17","4","6","7","18","28","-10","18","1.06","18.7","28.5","-9.8","-0.58","17","2","6","9","18","39","-21","12","0.71","17.2","32.2","-15.0","-0.89"
"Fußball-Bundesliga","M","GER",2020,"Eint Frankfurt","team","9","17","8","4","5","36","27","+9","28","1.65","34.9","25.9","+9.0","+0.53","17","5","2","10","23","33","-10","17","1.00","24.7","24.0","+0.7","+0.04"
"Fußball-Bundesliga","M","GER",2020,"Freiburg","team","8","17","9","2","6","23","17","+6","29","1.71","22.9","25.6","-2.6","-0.15","17","4","7","6","25","30","-5","19","1.12","23.8","39.0","-15.2","-0.90"
"Fußball-Bundesliga","M","GER",2020,"Hertha BSC","team","10","17","6","3","8","23","32","-9","21","1.24","21.0","27.9","-7.0","-0.41","17","5","5","7","25","27","-2","20","1.18","22.1","26.6","-4.5","-0.26"
"Fußball-Bundesliga","M","GER",2020,"Hoffenheim","team","6","17","7","1","9","26","37","-11","22","1.29","29.4","33.3","-3.9","-0.23","17","8","6","3","27","16","+11","30","1.76","26.7","26.3","+0.4","+0.03"
"Fußball-Bundesliga","M","GER",2020,"Köln","team","14","17","6","4","7","28","27","+1","22","1.29","25.8","24.1","+1.7","+0.10","17","4","2","11","23","42","-19","14","0.82","23.1","29.2","-6.1","-0.36"
"Fußball-Bundesliga","M","GER",2020,"Leverkusen","team","5","17","9","4","4","32","22","+10","31","1.82","34.3","21.2","+13.1","+0.77","17","10","2","5","29","22","+7","32","1.88","24.8","30.0","-5.3","-0.31"
"Fußball-Bundesliga","M","GER",2020,"M'Gladbach","team","4","17","12","2","3","40","21","+19","38","2.24","39.6","23.6","+16.0","+0.94","17","8","3","6","26","19","+7","27","1.59","32.4","22.3","+10.0","+0.59"
"Fußball-Bundesliga","M","GER",2020,"Mainz 05","team","13","17","5","2","10","18","29","-11","17","1.00","24.0","28.2","-4.2","-0.25","17","6","2","9","26","36","-10","20","1.18","24.2","31.4","-7.2","-0.43"
"Fußball-Bundesliga","M","GER",2020,"Paderborn 07","team","18","17","2","2","13","21","46","-25","8","0.47","20.7","38.8","-18.1","-1.06","17","2","6","9","16","28","-12","12","0.71","18.6","28.6","-10.0","-0.59"
"Fußball-Bundesliga","M","GER",2020,"RB Leipzig","team","3","17","7","8","2","38","21","+17","29","1.71","31.2","20.7","+10.5","+0.62","17","11","4","2","43","16","+27","37","2.18","40.2","18.1","+22.1","+1.30"
"Fußball-Bundesliga","M","GER",2020,"Schalke 04","team","12","17","5","7","5","20","27","-7","22","1.29","20.2","21.4","-1.1","-0.07","17","4","5","8","18","31","-13","17","1.00","17.6","30.3","-12.7","-0.75"
"Fußball-Bundesliga","M","GER",2020,"Union Berlin","team","11","17","8","3","6","24","20","+4","27","1.59","23.3","23.0","+0.3","+0.02","17","4","2","11","17","38","-21","14","0.82","18.1","31.3","-13.2","-0.77"
"Fußball-Bundesliga","M","GER",2020,"Werder Bremen","team","16","17","2","3","12","15","36","-21","9","0.53","20.0","24.2","-4.2","-0.25","17","6","4","7","27","33","-6","22","1.29","19.4","31.2","-11.8","-0.69"
"Fußball-Bundesliga","M","GER",2020,"Wolfsburg","team","7","17","4","7","6","19","23","-4","19","1.12","25.0","21.6","+3.4","+0.20","17","9","3","5","29","23","+6","30","1.76","27.8","21.3","+6.5","+0.38"
