"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Url"
2021,"Alavés","La Liga","Martin Agirregabiria","ESP","DF,MF","24",1996,17.3,28,1.62,16,9,0,0,3,0,3,0.17,2,1,0,0,0,0,"https://fbref.com/en/players/355c883a/Martin-Agirregabiria"
2021,"Alavés","La Liga","Rodrigo Battaglia","ARG","MF","29",1991,27.7,20,0.72,12,0,0,5,2,1,1,0.04,1,0,0,0,0,0,"https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia"
2021,"Alavés","La Liga","Burgui","ESP","MF","26",1993,0.2,1,4.29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/45e304c8/Burgui"
2021,"Alavés","La Liga","Iñigo Córdoba","ESP","MF","23",1997,2.4,7,2.92,4,1,0,0,2,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/49ea92be/Inigo-Cordoba"
2021,"Alavés","La Liga","Deyverson","BRA","FW","29",1991,9.7,21,2.16,15,0,1,1,3,1,4,0.41,1,0,0,1,1,1,"https://fbref.com/en/players/2e5e846d/Deyverson"
2021,"Alavés","La Liga","Rubén Duarte","ESP","DF","24",1995,28.3,62,2.19,39,20,0,1,1,1,3,0.11,3,0,0,0,0,0,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
2021,"Alavés","La Liga","Rodrigo Ely","BRA","DF","26",1993,5.2,4,0.77,3,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
2021,"Alavés","La Liga","Manu García","ESP","MF","34",1986,12.5,17,1.36,11,0,0,2,3,1,2,0.16,0,0,0,1,1,0,"https://fbref.com/en/players/05a4465d/Manu-Garcia"
2021,"Alavés","La Liga","Sergi García","ESP","MF","21",1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a039d52e/Sergi-Garcia"
2021,"Alavés","La Liga","John Guidetti","SWE","FW","28",1992,2.3,8,3.48,7,0,0,0,0,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/99bebd12/John-Guidetti"
2021,"Alavés","La Liga","Joselu","ESP","FW","30",1990,33.6,70,2.08,45,1,4,7,11,2,8,0.24,5,0,1,0,1,1,"https://fbref.com/en/players/6265208f/Joselu"
2021,"Alavés","La Liga","Jota","ESP","MF","29",1991,15.5,30,1.93,18,10,1,1,0,0,3,0.19,1,1,0,1,0,0,"https://fbref.com/en/players/9f351459/Jota"
2021,"Alavés","La Liga","Stephane Keller","CMR","DF","18",2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/89d1e9fa/Stephane-Keller"
2021,"Alavés","La Liga","Víctor Laguardia","ESP","DF","30",1989,29.2,11,0.38,9,1,0,1,0,0,3,0.1,3,0,0,0,0,0,"https://fbref.com/en/players/b7c99b9b/Victor-Laguardia"
2021,"Alavés","La Liga","Florian Lejeune","FRA","DF","29",1991,33.5,22,0.66,17,2,0,3,0,0,3,0.09,1,0,0,2,0,0,"https://fbref.com/en/players/6eaed4eb/Florian-Lejeune"
2021,"Alavés","La Liga","Javi López","ESP","DF,MF","18",2002,2.8,6,2.18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e9ada8cf/Javi-Lopez"
