"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Ligue 1","M","FRA",2020,"Amiens","team","19","14","3","5","6","17","23","-6","14","1.00","14.2","17.3","-3.1","-0.22","14","1","6","7","14","27","-13","9","0.64","13.2","22.1","-8.8","-0.63"
"Ligue 1","M","FRA",2020,"Angers","team","11","15","8","3","4","20","13","+7","27","1.80","19.1","14.8","+4.3","+0.29","13","3","3","7","8","20","-12","12","0.92","10.2","13.6","-3.4","-0.26"
"Ligue 1","M","FRA",2020,"Bordeaux","team","12","13","4","5","4","19","12","+7","17","1.31","16.6","15.0","+1.6","+0.12","15","5","5","5","21","22","-1","20","1.33","13.7","21.9","-8.2","-0.55"
"Ligue 1","M","FRA",2020,"Brest","team","14","14","6","6","2","21","11","+10","24","1.71","18.6","16.0","+2.7","+0.19","14","2","4","8","13","26","-13","10","0.71","12.1","29.5","-17.4","-1.25"
"Ligue 1","M","FRA",2020,"Dijon","team","16","14","6","6","2","20","15","+5","24","1.71","18.1","15.9","+2.2","+0.16","14","1","3","10","7","22","-15","6","0.43","12.4","22.6","-10.2","-0.73"
"Ligue 1","M","FRA",2020,"Lille","team","4","15","11","2","2","24","9","+15","35","2.33","26.0","12.8","+13.2","+0.88","13","4","2","7","11","18","-7","14","1.08","14.2","18.6","-4.3","-0.33"
"Ligue 1","M","FRA",2020,"Lyon","team","7","13","5","4","4","17","7","+10","19","1.46","15.3","12.1","+3.1","+0.24","15","6","3","6","25","20","+5","21","1.40","22.3","14.9","+7.4","+0.49"
"Ligue 1","M","FRA",2020,"Marseille","team","2","14","8","4","2","21","14","+7","28","2.00","19.3","11.4","+7.9","+0.57","14","8","4","2","20","15","+5","28","2.00","16.9","20.4","-3.5","-0.25"
"Ligue 1","M","FRA",2020,"Metz","team","15","14","5","4","5","18","17","+1","19","1.36","15.5","20.3","-4.8","-0.34","14","3","6","5","9","18","-9","15","1.07","11.6","17.8","-6.2","-0.44"
"Ligue 1","M","FRA",2020,"Monaco","team","9","14","8","2","4","29","22","+7","26","1.86","26.8","18.0","+8.8","+0.63","14","3","5","6","15","22","-7","14","1.00","22.1","24.8","-2.7","-0.19"
"Ligue 1","M","FRA",2020,"Montpellier","team","8","14","10","2","2","26","10","+16","32","2.29","23.2","14.2","+9.0","+0.64","14","1","5","8","9","24","-15","8","0.57","12.1","20.6","-8.4","-0.60"
"Ligue 1","M","FRA",2020,"Nantes","team","13","14","6","2","6","11","11","0","20","1.43","16.3","15.6","+0.7","+0.05","14","5","2","7","17","20","-3","17","1.21","13.9","15.9","-2.0","-0.14"
"Ligue 1","M","FRA",2020,"Nice","team","5","15","8","4","3","28","20","+8","28","1.87","21.1","21.5","-0.4","-0.02","13","3","4","6","13","18","-5","13","1.00","14.6","22.4","-7.8","-0.60"
"Ligue 1","M","FRA",2020,"Nîmes","team","18","14","6","2","6","17","15","+2","20","1.43","17.5","15.3","+2.2","+0.15","14","1","4","9","12","29","-17","7","0.50","12.9","25.6","-12.8","-0.91"
"Ligue 1","M","FRA",2020,"Paris S-G","team","1","14","12","1","1","44","11","+33","37","2.64","40.4","11.0","+29.4","+2.10","13","10","1","2","31","13","+18","31","2.38","33.8","12.0","+21.7","+1.67"
"Ligue 1","M","FRA",2020,"Reims","team","6","14","5","7","2","12","7","+5","22","1.57","16.4","12.7","+3.8","+0.27","14","5","4","5","14","14","0","19","1.36","14.2","15.8","-1.6","-0.12"
"Ligue 1","M","FRA",2020,"Rennes","team","3","14","9","2","3","25","14","+11","29","2.07","22.4","13.0","+9.4","+0.67","14","6","3","5","13","10","+3","21","1.50","14.7","17.2","-2.5","-0.18"
"Ligue 1","M","FRA",2020,"Saint-Étienne","team","17","14","4","6","4","15","18","-3","18","1.29","16.9","18.2","-1.3","-0.09","14","4","0","10","14","27","-13","12","0.86","14.6","20.6","-6.1","-0.43"
"Ligue 1","M","FRA",2020,"Strasbourg","team","10","13","7","3","3","22","14","+8","24","1.85","21.2","13.1","+8.1","+0.63","14","4","2","8","10","18","-8","14","1.00","13.0","19.1","-6.1","-0.44"
"Ligue 1","M","FRA",2020,"Toulouse","team","20","13","3","0","10","11","24","-13","9","0.69","16.4","19.7","-3.3","-0.25","15","0","4","11","11","34","-23","4","0.27","15.4","26.0","-10.6","-0.71"
