"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"2. Fußball-Bundesliga","M","GER",2023,"Arminia","team","16","18","5","4","9","29","31","-2","19","1.06","21.7","22.3","-0.6","-0.04","18","4","3","11","22","37","-15","15","0.83","22.2","26.6","-4.4","-0.26"
"2. Fußball-Bundesliga","M","GER",2023,"Braunschweig","team","15","17","7","3","7","23","22","+1","24","1.41","20.8","21.9","-1.1","-0.06","17","2","6","9","19","37","-18","12","0.71","17.0","32.0","-15.0","-0.88"
"2. Fußball-Bundesliga","M","GER",2023,"Darmstadt 98","team","2","17","11","5","1","27","13","+14","38","2.24","26.4","17.9","+8.5","+0.50","17","9","2","6","23","20","+3","29","1.71","22.1","23.0","-0.9","-0.05"
"2. Fußball-Bundesliga","M","GER",2023,"Düsseldorf","team","4","17","11","4","2","38","19","+19","37","2.18","29.3","19.9","+9.4","+0.56","17","6","3","8","22","24","-2","21","1.24","24.3","21.7","+2.6","+0.15"
"2. Fußball-Bundesliga","M","GER",2023,"Greuther Fürth","team","12","17","8","7","2","28","19","+9","31","1.82","26.2","18.6","+7.6","+0.45","17","2","4","11","19","31","-12","10","0.59","18.2","25.8","-7.6","-0.44"
"2. Fußball-Bundesliga","M","GER",2023,"Hamburger SV","team","3","17","11","3","3","38","20","+18","36","2.12","37.7","17.9","+19.8","+1.17","17","9","3","5","32","25","+7","30","1.76","26.0","27.4","-1.5","-0.09"
"2. Fußball-Bundesliga","M","GER",2023,"Hannover 96","team","10","17","8","3","6","27","26","+1","27","1.59","23.8","25.3","-1.5","-0.09","17","4","5","8","23","29","-6","17","1.00","19.5","32.2","-12.8","-0.75"
"2. Fußball-Bundesliga","M","GER",2023,"Hansa Rostock","team","13","17","6","1","10","18","25","-7","19","1.12","23.9","24.4","-0.4","-0.02","17","6","4","7","14","23","-9","22","1.29","13.1","24.0","-10.9","-0.64"
"2. Fußball-Bundesliga","M","GER",2023,"Heidenheim","team","1","17","12","4","1","41","16","+25","40","2.35","25.7","15.4","+10.3","+0.60","17","7","6","4","26","20","+6","27","1.59","21.9","20.4","+1.5","+0.09"
"2. Fußball-Bundesliga","M","GER",2023,"Holstein Kiel","team","8","17","6","4","7","29","29","0","22","1.29","29.9","21.8","+8.0","+0.47","17","6","6","5","29","32","-3","24","1.41","24.7","28.2","-3.5","-0.21"
"2. Fußball-Bundesliga","M","GER",2023,"Jahn R'burg","team","17","17","4","7","6","17","28","-11","19","1.12","20.7","24.6","-3.9","-0.23","17","4","0","13","17","30","-13","12","0.71","16.7","22.5","-5.8","-0.34"
"2. Fußball-Bundesliga","M","GER",2023,"Kaiserslautern","team","9","17","6","6","5","26","26","0","24","1.41","25.0","18.1","+6.9","+0.41","17","5","6","6","21","22","-1","21","1.24","21.7","22.5","-0.8","-0.05"
"2. Fußball-Bundesliga","M","GER",2023,"Karlsruher","team","7","17","9","3","5","32","25","+7","30","1.76","29.6","22.5","+7.1","+0.42","17","4","4","9","24","28","-4","16","0.94","22.6","22.5","+0.2","+0.01"
"2. Fußball-Bundesliga","M","GER",2023,"Magdeburg","team","11","17","6","4","7","23","22","+1","22","1.29","20.8","23.3","-2.6","-0.15","17","6","3","8","25","33","-8","21","1.24","22.0","35.3","-13.2","-0.78"
"2. Fußball-Bundesliga","M","GER",2023,"Nürnberg","team","14","17","7","4","6","18","17","+1","25","1.47","20.6","17.0","+3.6","+0.21","17","3","5","9","14","32","-18","14","0.82","15.9","26.4","-10.5","-0.62"
"2. Fußball-Bundesliga","M","GER",2023,"Paderborn 07","team","6","17","12","0","5","46","20","+26","36","2.12","39.1","21.7","+17.4","+1.02","17","4","7","6","22","24","-2","19","1.12","24.8","23.6","+1.2","+0.07"
"2. Fußball-Bundesliga","M","GER",2023,"Sandhausen","team","18","17","4","4","9","18","33","-15","16","0.94","17.6","25.6","-7.9","-0.47","17","3","3","11","17","30","-13","12","0.71","15.6","29.8","-14.2","-0.83"
"2. Fußball-Bundesliga","M","GER",2023,"St. Pauli","team","5","17","9","7","1","24","11","+13","34","2.00","24.9","14.6","+10.3","+0.61","17","7","3","7","31","28","+3","24","1.41","24.2","19.7","+4.4","+0.26"
